club,address,data_id,review_id,rating,date_iso,edited_at,date_label,text,original_text_available,source,review_url,collected_at,club_rating,club_reviews_total
Izi Moscow,"Басманный пер., 8 с1, Москва, Россия, 109028",0x46b54af49b7f665b:0xebbe3cfded529447,Ci9DQUlRQUNvZENodHljRjlvT2xaMGFGUlNibFp1Tm5sRmVGQkRSMHBDWVdaTFozYxAB,5.0,2026-08-05T08:53:05Z,2026-08-05T08:53:05Z,месяц назад,,False,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xaMGFGUlNibFp1Tm5sRmVGQkRSMHBDWVdaTFozYxAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CAIQACodChtycF9oOlZ0aFRSblZuNnlFeFBDR0pCYWZLZ3c%7C%7C?hl=ru,2026-09-07T23:53:39.773458+00:00,3.4,84
Izi Moscow,"Басманный пер., 8 с1, Москва, Россия, 109028",0x46b54af49b7f665b:0xebbe3cfded529447,Ci9DQUlRQUNvZENodHljRjlvT2xwWlJWcEJlSEZuU1c5blEwZG5SemhNT0VWT1MxRRAB,5.0,2026-07-25T21:02:18Z,2026-07-25T21:02:18Z,месяц назад,"ништяк место, можно потусить",True,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xwWlJWcEJlSEZuU1c5blEwZG5SemhNT0VWT1MxRRAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CAIQACodChtycF9oOlpZRVpBeHFnSW9nQ0dnRzhMOEVOS1E%7C%7C?hl=ru,2026-09-07T23:53:39.773816+00:00,3.4,84
Izi Moscow,"Басманный пер., 8 с1, Москва, Россия, 109028",0x46b54af49b7f665b:0xebbe3cfded529447,Ci9DQUlRQUNvZENodHljRjlvT2pCUWRUaGpkbVIyU0ZOMFdHZEZVbWxoYW5KRE5HYxAB,5.0,2026-07-17T22:24:34Z,2026-07-17T22:24:34Z,месяц назад,Крутой движ,True,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pCUWRUaGpkbVIyU0ZOMFdHZEZVbWxoYW5KRE5HYxAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CAIQACodChtycF9oOjBQdThjdmR2SFN0WGdFUmlhanJDNGc%7C%7C?hl=ru,2026-09-07T23:53:39.773864+00:00,3.4,84
Izi Moscow,"Басманный пер., 8 с1, Москва, Россия, 109028",0x46b54af49b7f665b:0xebbe3cfded529447,Ci9DQUlRQUNvZENodHljRjlvT2toYVRYQk1jalJsYVhaQlh6VXlVbTE2U1dGNlNtYxAB,5.0,2026-07-17T22:24:03Z,2026-07-17T22:24:03Z,месяц назад,,False,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2toYVRYQk1jalJsYVhaQlh6VXlVbTE2U1dGNlNtYxAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CAIQACodChtycF9oOkhaTXBMcjRlaXZBXzUyUm16SWF6Smc%7C%7C?hl=ru,2026-09-07T23:53:39.773900+00:00,3.4,84
Izi Moscow,"Басманный пер., 8 с1, Москва, Россия, 109028",0x46b54af49b7f665b:0xebbe3cfded529447,Ci9DQUlRQUNvZENodHljRjlvT25sSGFIVktRa1EzVWs1YWIySXRaemxEYjFOV1VFRRAB,5.0,2026-07-17T22:23:24Z,2026-07-17T22:23:24Z,месяц назад,Изи кайф!!!,True,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25sSGFIVktRa1EzVWs1YWIySXRaemxEYjFOV1VFRRAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CAIQACodChtycF9oOnlHaHVKQkQ3Uk5ab2ItZzlDb1NWUEE%7C%7C?hl=ru,2026-09-07T23:53:39.773932+00:00,3.4,84
Izi Moscow,"Басманный пер., 8 с1, Москва, Россия, 109028",0x46b54af49b7f665b:0xebbe3cfded529447,Ci9DQUlRQUNvZENodHljRjlvT2kxbFR6aGxXRTlSYURCd1dUaGhYMHB1VlVSdmFFRRAB,5.0,2026-05-02T21:15:14Z,2026-05-02T21:15:14Z,4 месяца назад,,False,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2kxbFR6aGxXRTlSYURCd1dUaGhYMHB1VlVSdmFFRRAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CAIQACodChtycF9oOi1lTzhlWE9RaDBwWThhX0puVURvaEE%7C%7C?hl=ru,2026-09-07T23:53:39.934745+00:00,3.4,84
Izi Moscow,"Басманный пер., 8 с1, Москва, Россия, 109028",0x46b54af49b7f665b:0xebbe3cfded529447,Ci9DQUlRQUNvZENodHljRjlvT25WZmMwOXBiMHhOU0VnM1EzQlFWbVZWY1VaYVpWRRAB,5.0,2026-04-25T20:48:46Z,2026-04-25T20:48:46Z,4 месяца назад,"Одним словом, Клуб огонь",True,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25WZmMwOXBiMHhOU0VnM1EzQlFWbVZWY1VaYVpWRRAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CAIQACodChtycF9oOnVfc09pb0xNSEg3Q3BQVmVVcUZaZVE%7C%7C?hl=ru,2026-09-07T23:53:39.934885+00:00,3.4,84
Izi Moscow,"Басманный пер., 8 с1, Москва, Россия, 109028",0x46b54af49b7f665b:0xebbe3cfded529447,Ci9DQUlRQUNvZENodHljRjlvT2xaTGFqQmtiV2wwUzFoTVNUaG5UMlJwYm5wQ1dtYxAB,5.0,2026-04-17T16:52:33Z,2026-04-17T16:52:33Z,4 месяца назад,"все очень круто, одно из немногих мест в Мск, где тебе комфортно и безопасно провести вечер",True,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xaTGFqQmtiV2wwUzFoTVNUaG5UMlJwYm5wQ1dtYxAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CAIQACodChtycF9oOlZLajBkbWl0S1hMSThnT2RpbnpCWmc%7C%7C?hl=ru,2026-09-07T23:53:39.934986+00:00,3.4,84
Izi Moscow,"Басманный пер., 8 с1, Москва, Россия, 109028",0x46b54af49b7f665b:0xebbe3cfded529447,Ci9DQUlRQUNvZENodHljRjlvT2pSWVdYSlBUSGhUYlVGa1NYbGFlazlyZEhsaU1FRRAB,5.0,2026-04-17T11:17:52Z,2026-04-17T11:17:52Z,4 месяца назад,хороший клуб для посещений отдохнуть,True,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pSWVdYSlBUSGhUYlVGa1NYbGFlazlyZEhsaU1FRRAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CAIQACodChtycF9oOjRYWXJPTHhTbUFkSXlaek9rdHliMEE%7C%7C?hl=ru,2026-09-07T23:53:39.935030+00:00,3.4,84
Izi Moscow,"Басманный пер., 8 с1, Москва, Россия, 109028",0x46b54af49b7f665b:0xebbe3cfded529447,Ci9DQUlRQUNvZENodHljRjlvT2sxVlYyRXRWalYwWlhkbmJsOXdNV05zZFhadU4yYxAB,5.0,2026-03-07T21:07:04Z,2026-03-07T21:07:04Z,6 месяцев назад,Все круто,True,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2sxVlYyRXRWalYwWlhkbmJsOXdNV05zZFhadU4yYxAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CAIQACodChtycF9oOk1VV2EtVjV0ZXdnbl9wMWNsdXZuN2c%7C%7C?hl=ru,2026-09-07T23:53:39.935066+00:00,3.4,84
