club,review_id,rating,text,review_url,club_rating,club_reviews_total,date,text_length,pred_вход_фейсконтроль_охрана,pred_музыка_звук,pred_персонал_сервис,pred_бар_еда,pred_помещение_комфорт,pred_цены_финвопросы,pred_платный_вход,pred_безопасность_кражи,pred_контингент,pred_прочее
Izi Moscow,Ci9DQUlRQUNvZENodHljRjlvT2xwWlJWcEJlSEZuU1c5blEwZG5SemhNT0VWT1MxRRAB,5,"ништяк место, можно потусить",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xwWlJWcEJlSEZuU1c5blEwZG5SemhNT0VWT1MxRRAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CAIQACodChtycF9oOlpZRVpBeHFnSW9nQ0dnRzhMOEVOS1E%7C%7C?hl=ru,3.4,84,2026-07-25 21:02:18+00:00,28,0,0,0,0,0,0,0,0,0,0
Izi Moscow,Ci9DQUlRQUNvZENodHljRjlvT2pCUWRUaGpkbVIyU0ZOMFdHZEZVbWxoYW5KRE5HYxAB,5,Крутой движ,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pCUWRUaGpkbVIyU0ZOMFdHZEZVbWxoYW5KRE5HYxAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CAIQACodChtycF9oOjBQdThjdmR2SFN0WGdFUmlhanJDNGc%7C%7C?hl=ru,3.4,84,2026-07-17 22:24:34+00:00,11,0,0,0,0,0,0,0,0,0,0
Izi Moscow,Ci9DQUlRQUNvZENodHljRjlvT25sSGFIVktRa1EzVWs1YWIySXRaemxEYjFOV1VFRRAB,5,Изи кайф!!!,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25sSGFIVktRa1EzVWs1YWIySXRaemxEYjFOV1VFRRAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CAIQACodChtycF9oOnlHaHVKQkQ3Uk5ab2ItZzlDb1NWUEE%7C%7C?hl=ru,3.4,84,2026-07-17 22:23:24+00:00,11,0,0,0,0,0,0,0,0,0,0
Izi Moscow,Ci9DQUlRQUNvZENodHljRjlvT25WZmMwOXBiMHhOU0VnM1EzQlFWbVZWY1VaYVpWRRAB,5,"Одним словом, Клуб огонь",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25WZmMwOXBiMHhOU0VnM1EzQlFWbVZWY1VaYVpWRRAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CAIQACodChtycF9oOnVfc09pb0xNSEg3Q3BQVmVVcUZaZVE%7C%7C?hl=ru,3.4,84,2026-04-25 20:48:46+00:00,24,0,0,0,0,0,0,0,0,0,0
Izi Moscow,Ci9DQUlRQUNvZENodHljRjlvT2xaTGFqQmtiV2wwUzFoTVNUaG5UMlJwYm5wQ1dtYxAB,5,"все очень круто, одно из немногих мест в Мск, где тебе комфортно и безопасно провести вечер",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xaTGFqQmtiV2wwUzFoTVNUaG5UMlJwYm5wQ1dtYxAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CAIQACodChtycF9oOlZLajBkbWl0S1hMSThnT2RpbnpCWmc%7C%7C?hl=ru,3.4,84,2026-04-17 16:52:33+00:00,91,0,0,0,0,0,0,0,0,0,0
Izi Moscow,Ci9DQUlRQUNvZENodHljRjlvT2pSWVdYSlBUSGhUYlVGa1NYbGFlazlyZEhsaU1FRRAB,5,хороший клуб для посещений отдохнуть,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pSWVdYSlBUSGhUYlVGa1NYbGFlazlyZEhsaU1FRRAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CAIQACodChtycF9oOjRYWXJPTHhTbUFkSXlaek9rdHliMEE%7C%7C?hl=ru,3.4,84,2026-04-17 11:17:52+00:00,36,0,0,0,0,0,0,0,0,0,0
Izi Moscow,Ci9DQUlRQUNvZENodHljRjlvT2sxVlYyRXRWalYwWlhkbmJsOXdNV05zZFhadU4yYxAB,5,Все круто,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2sxVlYyRXRWalYwWlhkbmJsOXdNV05zZFhadU4yYxAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CAIQACodChtycF9oOk1VV2EtVjV0ZXdnbl9wMWNsdXZuN2c%7C%7C?hl=ru,3.4,84,2026-03-07 21:07:04+00:00,9,0,0,0,0,0,0,0,0,0,0
Izi Moscow,Ci9DQUlRQUNvZENodHljRjlvT25CVE9GVkNkazVIUjJoTldUSkZZazlzUm04MFlVRRAB,5,Очень хорошие место буду еще не один раз,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25CVE9GVkNkazVIUjJoTldUSkZZazlzUm04MFlVRRAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CAIQACodChtycF9oOnBTOFVCdk5HR2hNWTJFYk9sRm80YUE%7C%7C?hl=ru,3.4,84,2026-02-22 22:58:27+00:00,40,0,0,0,0,0,0,0,0,0,0
Izi Moscow,Ci9DQUlRQUNvZENodHljRjlvT2poaFpVbDNia3RHVEVWUmFVcG1ZMlEzZFVweU9IYxAB,1,"ужасное по качеству и сервису место.  сказали есть ли снюс, сказал нет, когда к  этому начали приставать? очень медленно работают",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2poaFpVbDNia3RHVEVWUmFVcG1ZMlEzZFVweU9IYxAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CAIQACodChtycF9oOjhhZUl3bktGTEVRaUpmY2Q3dUpyOHc%7C%7C?hl=ru,3.4,84,2026-02-22 09:50:49+00:00,129,0,0,1,0,0,0,0,0,0,0
Izi Moscow,Ci9DQUlRQUNvZENodHljRjlvT25walgzTkRSbkJSYTAweldqSkdTV05hTmpSR1dVRRAB,5,все четко,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25walgzTkRSbkJSYTAweldqSkdTV05hTmpSR1dVRRAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CAIQACodChtycF9oOnpjX3NDRnBRa00zWjJGSWNaNjRGWUE%7C%7C?hl=ru,3.4,84,2026-02-18 19:37:21+00:00,9,0,0,0,0,0,0,0,0,0,0
